index,link,title,description,positive,negative,neutral,compound,Month
84,https://www.express.co.uk/news/world/1212977/north-korea-news-kim-jong-un-white-horse-mount-paektu-donald-trump-usa,Kim Jong-un sends Trump message secret warning with visit to ...,"1 week ago · The Korean Central News Agency (KCNA) released photos showing Kim riding on ... He said: “My relationship with Kim Jong-un is really good, but that doesn't...",0.0,0.194,0.806,-0.34,December
85,https://sputniknews.com/world/201912041077482559-year-of-national-strength-media-ponders-on-significance-of-kim-jong-uns-white-horse-ride/,'Year of National Strength': Media Ponders on Significance of Kim ...,1 week ago · 'Year of National Strength': Media Ponders on Significance of Kim Jong-un's White Horse ... Kim's horseback ride comes as the end-of-the-year deadline set by...,0.174,0.0,0.826,0.2732,December
86,https://www.dailymail.co.uk/news/article-7754519/Kim-Jong-rides-white-horse-sacred-mountain.html,Kim Jong Un rides a white horse up a sacred mountain,1 week ago · Kim Jong Un rode a white horse up sacred Mount Paektu alongside his wife Ri Sol-ju and other top lieutenants; Photos symbolism-heavy as Mount Paektu and...,0.0,0.0,1.0,0.0,December
87,https://www.thesun.co.uk/news/10479422/kim-jong-un-game-of-thrones-horse-battlefields-war/,Kim Jong-un channels Game of Thrones riding white horse in war ...,1 week ago · KIM JONG-UN has channelled Game of Thrones by riding a white horse across a historic battlefield in North Korea. The dictator was pictured surrounded by top...,0.0,0.262,0.738,-0.5994,December
88,https://www.nytimes.com/2019/12/04/world/asia/kim-jong-un-white-horse.html,Kim Jong-un Visits Sacred Mountain on Horseback. Analysts Watch ...,"1 week ago · SEOUL, South Korea — North Korea's leader, Kim Jong-un, this week took a second ride in less than two months on a white horse to the country's sacred,...",0.0,0.0,1.0,0.0,December
89,https://www.theguardian.com/world/gallery/2019/dec/04/kim-jong-un-rides-to-sacred-peak-on-white-horse-in-pictures,Kim Jong-un rides to sacred peak on white horse – in pictures,1 week ago · Kim Jong-un rides to sacred peak on white horse – in pictures ... Main image: Kim Jongn-un on horseback during his visit to Mount Paektu with his wife and other...,0.0,0.0,1.0,0.0,December
90,https://www.stuff.co.nz/world/asia/117951578/kim-jong-un-rides-horse-again-up-sacred-peak-as-nuclear-deadline-approaches,Kim Jong Un rides horse again up sacred peak as nuclear deadline ...,"1 week ago · North Korean leader Kim Jong Un rode a white horse up a sacred mountain, as a year-end deadline approaches for Washington to come up with new proposals...",0.0,0.0,1.0,0.0,December
91,https://www.sbs.com.au/news/kim-jong-un-opens-new-socialist-utopia-city-in-north-korea,Kim Jong Un opens new 'socialist utopia' city in North Korea,"1 week ago · North Korean leader Kim Jong Un has opened a flagship construction project close to Mount Paektu, a symbol of the Korean nation and officially the birthplace...",0.0,0.0,1.0,0.0,December
92,https://www.cnn.com/2019/12/04/asia/north-korea-christmas-gift-kim-jong-un-intl-hnk/index.html,North Korea warns US to prepare for 'Christmas gift' and releases ...,"1 week ago · ... minister at the North Korean Foreign Ministry working on US affairs, accused US policy makers of leveraging talks with Kim Jong Un for domestic political gain.",0.203,0.098,0.699,0.3612,December
93,https://www.foxnews.com/world/kim-jong-un-rides-white-horse-through-historic-battlefields-experts-see-symbolism,"Kim Jong Un rides white horse through historic battlefields, experts ...",1 week ago · North Korea's Kim Jong Un was photographed on Wednesday riding a white horse through historic battlefields in the country and an expert on the region called...,0.0,0.16,0.84,-0.2263,December
94,https://www.nknews.org/2019/12/kim-jong-un-opens-large-farm-in-a-bid-to-improve-diets-of-local-people-kcna/,"Kim Jong Un opens large farm in a bid to ""improve diets"" of local people: KCNA",1 week ago · The opening ceremony for a large-scale greenhouse farm and tree nursery in northeast North Korea was held on Tuesday in the presence of the country's...,0.172,0.0,0.828,0.4404,December
95,https://www.theguardian.com/world/2019/dec/03/north-koreas-kim-jong-un-opens-new-city-and-socialist-utopia-of-samjiyon,North Korea's Kim Jong-un opens new city and 'socialist utopia' of ...,"1 week ago · North Korea has celebrated the completion of leader Kim Jong-un's signature construction project, a new city near the sacred mountain where his family claims...",0.0,0.0,1.0,0.0,December
96,http://www.asiaone.com/singapore/north-koreas-kim-jong-un-again-rides-horse-mountain-nuke-deadline-nears,North Korea's Kim Jong Un again rides horse up mountain as nuke ...,1 week ago · SEOUL - North Korea says leader Kim Jong Un has taken a second ride on a white horse to a sacred mountain in less than two months. The Korean Central...,0.0,0.0,1.0,0.0,December
97,https://www.9news.com.au/national/kim-jong-un-rides-horse-up-sacred-mountain/0d44d5a4-130d-4898-be55-e7b6bef17cad,Kim Jong Un rides horse up sacred North Korean mountain,1 week ago · Kim Jong Un rides horse up sacred North Korean mountain for the second time in ... North Korea says leader Kim Jong Un has taken a second ride on a white...,0.0,0.0,1.0,0.0,December
98,https://www.mirror.co.uk/news/world-news/kim-jong-un-opens-luxury-21020998,Kim Jong-un opens luxury 'socialist utopia' city built using 'slave ...,"1 week ago · North Korea leader Kim Jong-un has officially opened a""socialist utopia"" with new apartments, hotels and a ski resort using what human rights activists have...",0.0,0.0,1.0,0.0,December
99,https://www.nknews.org/2019/12/kim-jong-un-returns-to-north-koreas-revolutionary-mount-paektu-on-horseback/,"Kim Jong Un returns to North Korea's ""revolutionary"" Mount Paektu ...",1 week ago · North Korean leader Kim Jong Un and top officials earlier this week toured sights around the politically-symbolic Paektusan area on horseback and scaled the...,0.0,0.0,1.0,0.0,December
